province,date_recovered,recovered
Alberta,29-09-2021,1855
Alberta,30-09-2021,1737
Alberta,1/10/2021,1656
Alberta,2/10/2021,0
Alberta,3/10/2021,0
Alberta,4/10/2021,3557
Alberta,5/10/2021,1855
Alberta,6/10/2021,1781
Alberta,7/10/2021,1745
Alberta,8/10/2021,1812
Alberta,9/10/2021,0
Alberta,10/10/2021,0
Alberta,11/10/2021,0
Alberta,12/10/2021,5869
Alberta,13-10-2021,1691
Alberta,14-10-2021,1682
Alberta,15-10-2021,1480
Alberta,16-10-2021,0
Alberta,17-10-2021,0
Alberta,18-10-2021,2827
Alberta,19-10-2021,1419
Alberta,20-10-2021,1346
Alberta,21-10-2021,1152
Alberta,22-10-2021,1041
Alberta,23-10-2021,0
Alberta,24-10-2021,0
Alberta,25-10-2021,2123
Alberta,26-10-2021,644
Alberta,27-10-2021,1169
Alberta,28-10-2021,865
Alberta,29-10-2021,824
Alberta,30-10-2021,0
Alberta,31-10-2021,0
Alberta,1/11/2021,1770
Alberta,2/11/2021,976
Alberta,3/11/2021,691
Alberta,4/11/2021,690
Alberta,5/11/2021,590
Alberta,6/11/2021,0
Alberta,7/11/2021,0
Alberta,8/11/2021,1286
Alberta,9/11/2021,715
Alberta,10/11/2021,561
Alberta,11/11/2021,0
Alberta,12/11/2021,1097
Alberta,13-11-2021,0
Alberta,14-11-2021,0
Alberta,15-11-2021,968
Alberta,16-11-2021,571
Alberta,17-11-2021,453
Alberta,18-11-2021,515
Alberta,19-11-2021,501
Alberta,20-11-2021,0
Alberta,21-11-2021,0
Alberta,22-11-2021,1101
Alberta,23-11-2021,553
Alberta,24-11-2021,428
Alberta,25-11-2021,442
Alberta,26-11-2021,305
Alberta,27-11-2021,0
Alberta,28-11-2021,0
Alberta,29-11-2021,966
Alberta,30-11-2021,537
Alberta,1/12/2021,349
Alberta,2/12/2021,444
Alberta,3/12/2021,447
Alberta,4/12/2021,0
Alberta,5/12/2021,0
Alberta,6/12/2021,849
Alberta,7/12/2021,504
Alberta,8/12/2021,349
Alberta,9/12/2021,380
Alberta,10/12/2021,321
Alberta,11/12/2021,0
Alberta,12/12/2021,0
Alberta,13-12-2021,737
Alberta,14-12-2021,408
Alberta,15-12-2021,387
Alberta,16-12-2021,344
Alberta,17-12-2021,333
Alberta,18-12-2021,0
Alberta,19-12-2021,0
Alberta,20-12-2021,698
Alberta,21-12-2021,391
Alberta,22-12-2021,321
Alberta,23-12-2021,331
Alberta,24-12-2021,338
Alberta,25-12-2021,314
Alberta,26-12-2021,193
Alberta,27-12-2021,218
Alberta,28-12-2021,441
Alberta,29-12-2021,446
Alberta,30-12-2021,600
Alberta,31-12-2021,634
Alberta,1/1/2022,711
Alberta,2/1/2022,616
Alberta,3/1/2022,737
Alberta,4/1/2022,1481
Alberta,5/1/2022,1821
Alberta,6/1/2022,2165
Alberta,7/1/2022,2738
Alberta,8/1/2022,0
Alberta,9/1/2022,0
Alberta,10/1/2022,3653
Alberta,11/1/2022,3415
Alberta,12/1/2022,4158
Alberta,13-01-2022,4498
Alberta,14-01-2022,4762
Alberta,15-01-2022,0
Alberta,16-01-2022,0
Alberta,17-01-2022,7624
Alberta,18-01-2022,5415
Alberta,19-01-2022,6525
Alberta,20-01-2022,6534
Alberta,21-01-2022,6488
Alberta,22-01-2022,0
Alberta,23-01-2022,0
Alberta,24-01-2022,0
Alberta,25-01-2022,21629
Alberta,26-01-2022,6733
Alberta,27-01-2022,6647
Alberta,28-01-2022,6024
Alberta,29-01-2022,0
Alberta,30-01-2022,0
Alberta,31-01-2022,10334
Alberta,1/2/2022,4113
Alberta,2/2/2022,3455
Alberta,3/2/2022,3353
Alberta,4/2/2022,3228
Alberta,5/2/2022,0
Alberta,6/2/2022,0
Alberta,7/2/2022,7196
Alberta,8/2/2022,3483
Alberta,9/2/2022,3043
Alberta,10/2/2022,2898
Alberta,11/2/2022,2562
Alberta,12/2/2022,0
Alberta,13-02-2022,0
Alberta,14-02-2022,5901
Alberta,15-02-2022,2639
Alberta,16-02-2022,2250
Alberta,17-02-2022,1918
Alberta,18-02-2022,1778
Alberta,19-02-2022,0
Alberta,20-02-2022,0
Alberta,21-02-2022,0
Alberta,22-02-2022,0
Alberta,23-02-2022,7276
Alberta,24-02-2022,1243
Alberta,25-02-2022,1096
Alberta,26-02-2022,0
Alberta,27-02-2022,0
Alberta,28-02-2022,2345
Alberta,1/3/2022,0
Alberta,2/3/2022,1744
Alberta,3/3/2022,751
Alberta,4/3/2022,793
Alberta,5/3/2022,0
Alberta,6/3/2022,0
Alberta,7/3/2022,1583
Alberta,8/3/2022,469
Alberta,9/3/2022,816
Alberta,10/3/2022,735
Alberta,11/3/2022,606
Alberta,12/3/2022,0
Alberta,13-03-2022,0
Alberta,14-03-2022,1238
BC,12/2/2020,0
BC,13-02-2020,0
BC,14-02-2020,0
BC,15-02-2020,0
BC,16-02-2020,0
BC,17-02-2020,0
BC,18-02-2020,0
BC,19-02-2020,1
BC,20-02-2020,0
BC,21-02-2020,0
BC,22-02-2020,0
BC,23-02-2020,0
BC,24-02-2020,0
BC,25-02-2020,3
BC,26-02-2020,0
BC,27-02-2020,0
BC,28-02-2020,0
BC,29-02-2020,0
BC,1/3/2020,0
BC,2/3/2020,0
BC,3/3/2020,0
BC,4/3/2020,0
BC,5/3/2020,0
BC,6/3/2020,0
BC,7/3/2020,0
BC,8/3/2020,0
BC,9/3/2020,0
BC,10/3/2020,0
BC,11/3/2020,0
BC,12/3/2020,0
BC,13-03-2020,1
BC,14-03-2020,0
BC,15-03-2020,0
BC,16-03-2020,0
BC,17-03-2020,0
BC,18-03-2020,0
BC,19-03-2020,0
BC,20-03-2020,1
BC,21-03-2020,0
BC,22-03-2020,0
BC,23-03-2020,94
BC,24-03-2020,73
BC,25-03-2020,10
BC,26-03-2020,3
BC,27-03-2020,89
BC,28-03-2020,121
BC,29-03-2020,0
BC,30-03-2020,73
BC,31-03-2020,38
BC,1/4/2020,99
BC,2/4/2020,35
BC,3/4/2020,32
BC,4/4/2020,31
BC,5/4/2020,0
BC,6/4/2020,79
BC,7/4/2020,22
BC,8/4/2020,33
BC,9/4/2020,20
BC,10/4/2020,21
BC,11/4/2020,26
BC,12/4/2020,0
BC,13-04-2020,21
BC,14-04-2020,16
BC,15-04-2020,13
BC,16-04-2020,11
BC,17-04-2020,0
BC,18-04-2020,21
BC,19-04-2020,0
BC,20-04-2020,52
BC,21-04-2020,2
BC,22-04-2020,38
BC,23-04-2020,13
BC,24-04-2020,22
BC,25-04-2020,23
BC,26-04-2020,0
BC,27-04-2020,53
BC,28-04-2020,41
BC,29-04-2020,74
BC,30-04-2020,17
BC,1/5/2020,35
BC,2/5/2020,19
BC,3/5/2020,0
BC,4/5/2020,41
BC,5/5/2020,55
BC,6/5/2020,22
BC,7/5/2020,18
BC,8/5/2020,67
BC,9/5/2020,80
BC,10/5/2020,0
BC,11/5/2020,60
BC,12/5/2020,113
BC,13-05-2020,27
BC,14-05-2020,26
BC,15-05-2020,23
BC,16-05-2020,24
BC,17-05-2020,0
BC,18-05-2020,34
BC,19-05-2020,9
BC,20-05-2020,26
BC,21-05-2020,19
BC,22-05-2020,22
BC,23-05-2020,15
BC,24-05-2020,0
BC,25-05-2020,45
BC,26-05-2020,20
BC,27-05-2020,22
BC,28-05-2020,9
BC,29-05-2020,17
BC,30-05-2020,11
BC,31-05-2020,0
